LocationID,Borough,Zone,service_zone,avg_fare,avg_trip_distance,total_trips
41,Manhattan,Central Harlem,Boro Zone,13.130864197530865,2.36,81.0
42,Manhattan,Central Harlem North,Boro Zone,11.69125,2.0655,40.0
43,Manhattan,Central Park,Yellow Zone,14.144639175257732,2.356426116838488,291.0
44,Staten Island,Charleston/Tottenville,Boro Zone,0.0,0.0,0.0
45,Manhattan,Chinatown,Yellow Zone,15.420851063829787,2.6672340425531913,47.0
46,Bronx,City Island,Boro Zone,10.8,2.86,1.0
47,Bronx,Claremont/Bathgate,Boro Zone,0.0,0.0,0.0
48,Manhattan,Clinton East,Yellow Zone,14.122286874154264,2.418768606224628,739.0
49,Brooklyn,Clinton Hill,Boro Zone,14.762222222222224,2.0444444444444443,9.0
50,Manhattan,Clinton West,Yellow Zone,14.257699115044248,2.36358407079646,226.0
51,Bronx,Co-Op City,Boro Zone,0.0,0.0,0.0
52,Brooklyn,Cobble Hill,Boro Zone,20.991176470588236,4.523529411764706,17.0
53,Queens,College Point,Boro Zone,0.0,0.0,0.0
54,Brooklyn,Columbia Street,Boro Zone,9.8,1.57,1.0
55,Brooklyn,Coney Island,Boro Zone,10.3,0.0,1.0
56,Queens,Corona,Boro Zone,26.05,7.6,2.0
57,Queens,Corona,Boro Zone,35.16,7.09,1.0
58,Bronx,Country Club,Boro Zone,0.0,0.0,0.0
59,Bronx,Crotona Park,Boro Zone,0.0,0.0,0.0
60,Bronx,Crotona Park East,Boro Zone,0.0,0.0,0.0
61,Brooklyn,Crown Heights North,Boro Zone,21.95,3.8000000000000003,3.0
62,Brooklyn,Crown Heights South,Boro Zone,9.18,1.545,2.0
63,Brooklyn,Cypress Hills,Boro Zone,8.8,1.81,1.0
64,Queens,Douglaston,Boro Zone,0.0,0.0,0.0
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,17.663333333333334,3.8413888888888885,36.0
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,18.472,3.875,10.0
67,Brooklyn,Dyker Heights,Boro Zone,0.0,0.0,0.0
